comprobante,fecha,modo,canasta_visible,producto_oculto,top5,acierto,precision5,recall5
B001-000398,2026-06-20,CONV,FER-003|PIN-001|PIN-010,HER-011,PIN-002|FER-005|HER-011|FER-006|PIN-007,1,0.2,1.0
B001-000398,2026-06-20,ML_REGLAS,FER-003|PIN-001|PIN-010,HER-011,HER-011|PIN-002|PIN-008|LIJ-001|HER-012,1,0.2,1.0
B001-000398,2026-06-20,ML_COMPLETO,FER-003|PIN-001|PIN-010,HER-011,HER-011|LIJ-001|PIN-007|HER-012|PIN-008,1,0.2,1.0
B001-000399,2026-06-21,CONV,ACC-004|HER-008|TUB-001|VAL-002,ACC-001,HER-001|HER-005|HER-003|VAL-001|ACC-001,1,0.2,1.0
B001-000399,2026-06-21,ML_REGLAS,ACC-004|HER-008|TUB-001|VAL-002,ACC-001,VAL-001|ACC-001|ACC-002|TUB-003|HER-001,1,0.2,1.0
B001-000399,2026-06-21,ML_COMPLETO,ACC-004|HER-008|TUB-001|VAL-002,ACC-001,VAL-001|ACC-001|TUB-003|ACC-002|LAV-001,1,0.2,1.0
B001-000400,2026-06-21,CONV,CLO-001|CON-001|FIE-002,HER-001,ALA-001|CLO-002|CON-002|CON-004|CON-003,0,0.0,0.0
B001-000400,2026-06-21,ML_REGLAS,CLO-001|CON-001|FIE-002,HER-001,FIE-001|ALA-001|HER-001|HER-005|CON-002,1,0.2,1.0
B001-000400,2026-06-21,ML_COMPLETO,CLO-001|CON-001|FIE-002,HER-001,HER-001|FIE-003|ALA-001|CON-004|HER-005,1,0.2,1.0
B001-000401,2026-06-22,CONV,CON-001|CON-003,CON-002,ALA-001|CLO-001|CLO-002|CON-002|CON-004,1,0.2,1.0
B001-000401,2026-06-22,ML_REGLAS,CON-001|CON-003,CON-002,CON-002|CON-004|FIE-001|ALA-001|CLO-002,1,0.2,1.0
B001-000401,2026-06-22,ML_COMPLETO,CON-001|CON-003,CON-002,CON-002|CON-004|FIE-001|CLO-002|ALA-001,1,0.2,1.0
B001-000402,2026-06-22,CONV,ACC-001|LAV-001|TUB-001,VAL-002,VAL-001|ACC-004|VAL-002|ACC-002|TUB-003,1,0.2,1.0
B001-000402,2026-06-22,ML_REGLAS,ACC-001|LAV-001|TUB-001,VAL-002,FER-001|HER-008|VAL-002|IFO-001|VAL-001,1,0.2,1.0
B001-000402,2026-06-22,ML_COMPLETO,ACC-001|LAV-001|TUB-001,VAL-002,FER-001|VAL-002|VAL-001|IFO-001|CON-001,1,0.2,1.0
B001-000403,2026-06-23,CONV,ACC-002|LIJ-002,TUB-001,TUB-001|PIN-002|VAL-001|HER-011|ACC-004,1,0.2,1.0
B001-000403,2026-06-23,ML_REGLAS,ACC-002|LIJ-002,TUB-001,PIN-004|PIN-003|TUB-001|FER-003|PIN-009,1,0.2,1.0
B001-000403,2026-06-23,ML_COMPLETO,ACC-002|LIJ-002,TUB-001,TUB-001|PIN-003|PIN-004|VAL-001|VAL-002,1,0.2,1.0
B001-000404,2026-06-23,CONV,HER-004|HER-007|VAL-001|VAL-002,IFO-001,TUB-001|HER-001|HER-005|HER-003|ACC-004,0,0.0,0.0
B001-000404,2026-06-23,ML_REGLAS,HER-004|HER-007|VAL-001|VAL-002,IFO-001,TUB-001|ACC-004|HER-008|ACC-001|ACC-002,0,0.0,0.0
B001-000404,2026-06-23,ML_COMPLETO,HER-004|HER-007|VAL-001|VAL-002,IFO-001,TUB-001|LAV-001|ACC-004|ACC-002|ACC-001,0,0.0,0.0
B001-000405,2026-06-24,CONV,ACC-004|ELE-009|TUB-001,CON-001,ELE-004|ELE-005|ELE-001|VAL-001|ACC-001,0,0.0,0.0
B001-000405,2026-06-24,ML_REGLAS,ACC-004|ELE-009|TUB-001,CON-001,VAL-001|ELE-005|ELE-010|ELE-004|HER-003,0,0.0,0.0
B001-000405,2026-06-24,ML_COMPLETO,ACC-004|ELE-009|TUB-001,CON-001,VAL-001|VAL-002|ELE-005|ELE-004|ACC-001,0,0.0,0.0
B001-000406,2026-06-24,CONV,HER-008,TUB-004,HER-001|HER-005|HER-003|HER-006|HER-004,0,0.0,0.0
B001-000406,2026-06-24,ML_REGLAS,HER-008,TUB-004,ACC-001|TUB-001|VAL-002|HER-001|HER-005,0,0.0,0.0
B001-000406,2026-06-24,ML_COMPLETO,HER-008,TUB-004,TUB-001|ACC-004|TUB-003|TUB-004|VAL-001,1,0.2,1.0
B001-000407,2026-06-24,CONV,HER-011,PIN-002,PIN-002|PIN-001|PIN-007|HER-012|PIN-008,1,0.2,1.0
B001-000407,2026-06-24,ML_REGLAS,HER-011,PIN-002,PIN-002|FER-003|PIN-010|PIN-008|PIN-001,1,0.2,1.0
B001-000407,2026-06-24,ML_COMPLETO,HER-011,PIN-002,PIN-002|PIN-001|PIN-008|FER-003|PIN-007,1,0.2,1.0
B001-000408,2026-06-25,CONV,HER-011|PIN-004|PIN-007,PIN-001,PIN-002|PIN-001|HER-012|PIN-008|PIN-010,1,0.2,1.0
B001-000408,2026-06-25,ML_REGLAS,HER-011|PIN-004|PIN-007,PIN-001,PIN-009|LIJ-002|PIN-002|FER-003|LIJ-001,0,0.0,0.0
B001-000408,2026-06-25,ML_COMPLETO,HER-011|PIN-004|PIN-007,PIN-001,LIJ-002|PIN-002|PIN-009|FER-003|PIN-001,1,0.2,1.0
B001-000409,2026-06-25,CONV,FER-003|LIJ-002|PIN-009,PIN-003,PIN-002|FER-005|HER-011|PIN-001|FER-006,0,0.0,0.0
B001-000409,2026-06-25,ML_REGLAS,FER-003|LIJ-002|PIN-009,PIN-003,PIN-004|PIN-003|HER-011|PIN-010|PIN-002,1,0.2,1.0
B001-000409,2026-06-25,ML_COMPLETO,FER-003|LIJ-002|PIN-009,PIN-003,PIN-004|PIN-003|PIN-001|HER-011|PIN-007,1,0.2,1.0
B001-000411,2026-06-26,CONV,CON-001|ELE-005|ELE-009,CLO-002,ELE-004|ALA-001|CLO-001|ELE-001|CLO-002,1,0.2,1.0
B001-000411,2026-06-26,ML_REGLAS,CON-001|ELE-005|ELE-009,CLO-002,ELE-010|ELE-004|HER-003|FIE-001|ELE-007,0,0.0,0.0
B001-000411,2026-06-26,ML_COMPLETO,CON-001|ELE-005|ELE-009,CLO-002,ELE-010|ELE-007|ELE-001|HER-003|ALA-001,0,0.0,0.0
B001-000412,2026-06-26,CONV,ACC-004|TUB-001,VAL-002,VAL-001|ACC-001|VAL-002|LAV-001|ACC-002,1,0.2,1.0
B001-000412,2026-06-26,ML_REGLAS,ACC-004|TUB-001,VAL-002,VAL-001|VAL-002|ACC-002|ACC-001|TUB-003,1,0.2,1.0
B001-000412,2026-06-26,ML_COMPLETO,ACC-004|TUB-001,VAL-002,VAL-001|VAL-002|ACC-002|ACC-001|TUB-003,1,0.2,1.0
B001-000413,2026-06-27,CONV,HER-012|PIN-002|PIN-007,LIJ-001,HER-011|PIN-001|PIN-008|PIN-010|LIJ-001,1,0.2,1.0
B001-000413,2026-06-27,ML_REGLAS,HER-012|PIN-002|PIN-007,LIJ-001,HER-011|LIJ-001|FER-003|PIN-001|PIN-010,1,0.2,1.0
B001-000413,2026-06-27,ML_COMPLETO,HER-012|PIN-002|PIN-007,LIJ-001,HER-011|PIN-010|LIJ-001|FER-003|PIN-008,1,0.2,1.0
B001-000414,2026-06-27,CONV,ELE-001|ELE-004|ELE-008,ELE-003,ELE-005|ELE-007|ELE-010|ELE-009|ELE-003,1,0.2,1.0
B001-000414,2026-06-27,ML_REGLAS,ELE-001|ELE-004|ELE-008,ELE-003,ELE-003|ELE-005|HER-003|ELE-007|HER-002,1,0.2,1.0
B001-000414,2026-06-27,ML_COMPLETO,ELE-001|ELE-004|ELE-008,ELE-003,ELE-003|HER-003|HER-004|ELE-007|FER-005,1,0.2,1.0
B001-000415,2026-06-28,CONV,HER-012|PIN-002,CON-002,HER-011|PIN-001|PIN-007|PIN-008|PIN-010,0,0.0,0.0
B001-000415,2026-06-28,ML_REGLAS,HER-012|PIN-002,CON-002,HER-011|PIN-007|PIN-010|PIN-008|PIN-001,0,0.0,0.0
B001-000415,2026-06-28,ML_COMPLETO,HER-012|PIN-002,CON-002,PIN-007|PIN-008|LIJ-001|PIN-010|HER-011,0,0.0,0.0
B001-000416,2026-06-28,CONV,ALA-001|CLO-002|HER-001,HER-005,CON-001|HER-005|HER-003|CLO-001|CON-002,1,0.2,1.0
B001-000416,2026-06-28,ML_REGLAS,ALA-001|CLO-002|HER-001,HER-005,CLO-001|HER-005|CON-001|HER-003|CON-002,1,0.2,1.0
B001-000416,2026-06-28,ML_COMPLETO,ALA-001|CLO-002|HER-001,HER-005,HER-005|CON-001|HER-004|ELE-005|CLO-001,1,0.2,1.0
B001-000417,2026-06-29,CONV,ACC-001|TUB-001|VAL-001,VAL-002,ACC-004|VAL-002|LAV-001|ACC-002|TUB-003,1,0.2,1.0
B001-000417,2026-06-29,ML_REGLAS,ACC-001|TUB-001|VAL-001,VAL-002,ACC-004|HER-008|ACC-002|VAL-002|IFO-001,1,0.2,1.0
B001-000417,2026-06-29,ML_COMPLETO,ACC-001|TUB-001|VAL-001,VAL-002,VAL-002|HER-008|ACC-004|ACC-002|IFO-001,1,0.2,1.0
B001-000418,2026-06-29,CONV,CLO-002|CON-001|PIN-002,HER-012,ALA-001|CLO-001|HER-011|PIN-001|CON-002,0,0.0,0.0
B001-000418,2026-06-29,ML_REGLAS,CLO-002|CON-001|PIN-002,HER-012,ALA-001|HER-011|HER-012|PIN-007|HER-001,1,0.2,1.0
B001-000418,2026-06-29,ML_COMPLETO,CLO-002|CON-001|PIN-002,HER-012,ALA-001|HER-001|HER-012|PIN-007|FIE-003,1,0.2,1.0
B001-000419,2026-06-29,CONV,CLO-001|CON-001,FER-003,ALA-001|CLO-002|CON-002|CON-004|CON-003,0,0.0,0.0
B001-000419,2026-06-29,ML_REGLAS,CLO-001|CON-001,FER-003,FIE-001|ALA-001|HER-001|HER-005|CON-002,0,0.0,0.0
B001-000419,2026-06-29,ML_COMPLETO,CLO-001|CON-001,FER-003,FIE-001|HER-001|ALA-001|HER-005|CON-003,0,0.0,0.0
B001-000420,2026-06-30,CONV,HER-005,FER-005,HER-001|HER-003|HER-006|HER-004|HER-013,0,0.0,0.0
B001-000420,2026-06-30,ML_REGLAS,HER-005,FER-005,FER-005|HER-006|ALA-001|CLO-001|HER-001,1,0.2,1.0
B001-000420,2026-06-30,ML_COMPLETO,HER-005,FER-005,FER-005|HER-006|CLO-001|CLO-002|HER-001,1,0.2,1.0
